condition,seed,target,round_pair,round_to,jaccard
no_history,301,S8,2-3,3,0.0
no_history,301,S8,3-4,4,0.0
no_history,301,S8,4-5,5,0.06666666666666667
no_history,301,S8,5-6,6,0.13333333333333333
no_history,302,S1,1-2,2,0.42857142857142855
no_history,302,S1,2-3,3,0.3333333333333333
no_history,302,S1,3-4,4,0.1111111111111111
no_history,302,S1,4-5,5,0.0
no_history,302,S1,5-6,6,0.0
no_history,302,S2,1-2,2,0.2
no_history,302,S2,2-3,3,0.4
no_history,302,S2,3-4,4,0.21428571428571427
no_history,302,S2,4-5,5,0.25
no_history,302,S2,5-6,6,0.375
no_history,302,S3,1-2,2,0.0
no_history,302,S3,2-3,3,0.0
no_history,302,S3,3-4,4,0.0
no_history,302,S3,4-5,5,0.0
no_history,302,S3,5-6,6,0.0
no_history,302,S4,1-2,2,0.0
no_history,302,S4,2-3,3,0.0
no_history,302,S4,3-4,4,0.07692307692307693
no_history,302,S4,4-5,5,0.0
no_history,302,S4,5-6,6,0.0
no_history,302,S5,1-2,2,0.0
no_history,302,S5,2-3,3,0.3333333333333333
no_history,302,S5,3-4,4,0.1
no_history,302,S5,4-5,5,0.2222222222222222
no_history,302,S5,5-6,6,0.2
no_history,302,S6,1-2,2,0.375
no_history,302,S6,2-3,3,0.09090909090909091
no_history,302,S6,3-4,4,0.0
no_history,302,S6,4-5,5,0.0
no_history,302,S6,5-6,6,0.0
no_history,302,S7,1-2,2,0.18181818181818182
no_history,302,S7,2-3,3,0.18181818181818182
no_history,302,S7,3-4,4,0.0
no_history,302,S7,4-5,5,0.125
no_history,302,S7,5-6,6,0.25
no_history,302,S8,1-2,2,0.0
no_history,302,S8,2-3,3,0.0
no_history,302,S8,3-4,4,0.07142857142857142
no_history,302,S8,4-5,5,0.0
no_history,302,S8,5-6,6,0.125
